name,mfr,type,cal,prot,fat,sod,fiber,carb,sugar,pot,weight,cups,sugar2
100% Bran,N,C,70,4000,1000,130,10,5000,6000,280,1,0,6
100% Natural Bran,Q,C,120,3000,5000,15,2,8000,8000,135,1,,8
All-Bran,K,C,70,4000,1000,260,9,7000,5000,320,1,0,5
All-Bran with Extra Fiber,K,C,50,4000,0,140,14,8000,0,330,1,1,0
Almond Delight,R,C,110,2000,2000,200,1,14000,8000,,1,1,8
Apple Cinnamon Cheerios,G,C,110,2000,2000,180,2,10500,10000,70,1,1,10
Apple Jacks,K,C,110,2000,0,125,1,11000,14000,30,1,1,14
Basic 4,G,C,130,3000,2000,210,2,18000,8000,100,1,1,8
Bran Chex,R,C,90,2000,1000,200,4,15000,6000,125,1,1,6
Bran Flakes,P,C,90,3000,0,210,5,13000,5000,190,1,1,5
Cap'n'Crunch,Q,C,120,1000,2000,220,0,12000,12000,35,1,1,12
Cheerios,G,C,110,6000,2000,290,2,17000,1000,105,1,1,1
Cinnamon Toast Crunch,G,C,120,1000,3000,210,0,13000,9000,45,1,1,9
Clusters,G,C,110,3000,2000,140,2,13000,7000,105,1,1,7
Cocoa Puffs,G,C,110,1000,1000,180,0,12000,13000,55,1,1,13
Corn Chex,R,C,110,2000,0,280,0,22000,3000,25,1,1,3
Corn Flakes,K,C,100,2000,0,290,1,21000,2000,35,1,1,2
Corn Pops,K,C,110,1000,0,90,1,13000,12000,20,1,1,12
Count Chocula,G,C,110,1000,1000,180,0,12000,13000,65,1,1,13
Cracklin' Oat Bran,K,C,110,3000,3000,140,4,10000,7000,160,1,1,7
Cream of Wheat (Quick),N,H,100,3000,0,80,1,21000,0,,1,1,0
Crispix,K,C,110,2000,0,220,1,21000,3000,30,1,1,3
Crispy Wheat & Raisins,G,C,100,2000,1000,140,2,11000,10000,120,1,1,10
Double Chex,R,C,100,2000,0,190,1,18000,5000,80,1,1,5
Froot Loops,K,C,110,2000,1000,125,1,11000,13000,30,1,1,13
Frosted Flakes,K,C,110,1000,0,200,1,14000,11000,25,1,1,11
Frosted Mini-Wheats,K,C,100,3000,0,0,3,14000,7000,100,1,1,7
"Fruit & Fibre Dates, Walnuts, and Oats",P,C,120,3000,2000,160,5,12000,10000,200,1,1,10
Fruitful Bran,K,C,120,3000,0,240,5,14000,12000,190,1,1,12
Fruity Pebbles,P,C,110,1000,1000,135,0,13000,12000,25,1,1,12
Golden Crisp,P,C,100,2000,0,45,0,11000,15000,40,1,1,15
Golden Grahams,G,C,110,1000,1000,280,0,15000,9000,45,1,1,9
Grape Nuts Flakes,P,C,100,3000,1000,140,3,15000,5000,85,1,1,5
Grape-Nuts,P,C,110,3000,0,170,3,17000,3000,90,1,0,3
Great Grains Pecan,P,C,120,3000,3000,75,3,13000,4000,100,1,0,4
Honey Graham Ohs,Q,C,120,1000,2000,220,1,12000,11000,45,1,1,11
Honey Nut Cheerios,G,C,110,3000,1000,250,2,11500,10000,90,1,1,10
Honey-comb,P,C,110,1000,0,180,0,14000,11000,35,1,1,11
Just Right Crunchy  Nuggets,K,C,110,2000,1000,170,1,17000,6000,60,1,,6
Just Right Fruit & Nut,K,C,140,3000,1000,170,2,20000,9000,95,1,1,9
Kix,G,C,110,2000,1000,260,0,21000,3000,40,1,2,3
Life,Q,C,100,4000,2000,150,2,12000,6000,95,1,1,6
Lucky Charms,G,C,110,2000,1000,180,0,12000,12000,55,1,1,12
Maypo,A,H,100,4000,1000,0,0,16000,3000,95,1,,3
"Muesli Raisins, Dates, & Almonds",R,C,150,4000,3000,95,3,16000,11000,170,,,11
"Muesli Raisins, Peaches, & Pecans",R,C,150,4000,3000,150,3,16000,11000,170,,,11
Mueslix Crispy Blend,K,C,160,3000,2000,150,3,17000,13000,160,2,1,13
Multi-Grain Cheerios,G,C,100,2000,1000,220,2,15000,6000,90,1,1,6
Nut&Honey Crunch,K,C,120,2000,1000,190,0,15000,9000,40,1,1,9
Nutri-Grain Almond-Raisin,K,C,140,3000,2000,220,3,21000,7000,130,1,1,7
Nutri-grain Wheat,K,C,90,3000,0,170,3,18000,2000,90,1,,2
Oatmeal Raisin Crisp,G,C,130,3000,2000,170,2,13500,10000,120,1,1,10
Post Nat. Raisin Bran,P,C,120,3000,1000,200,6,11000,14000,260,1,1,14
Product 19,K,C,100,3000,0,320,1,20000,3000,45,1,1,3
Puffed Rice,Q,C,50,1000,0,0,0,13000,0,15,1,1,0
Puffed Wheat,Q,C,50,2000,0,0,1,10000,0,50,1,,0
Quaker Oat Squares,Q,C,100,4000,1000,135,2,14000,6000,110,1,1,6
Quaker Oatmeal,Q,H,100,5000,2000,0,3,,,110,1,1,
Raisin Bran,K,C,120,3000,1000,210,5,14000,12000,240,1,1,12
Raisin Nut Bran,G,C,100,3000,2000,140,3,10500,8000,140,1,1,8
Raisin Squares,K,C,90,2000,0,0,2,15000,6000,110,1,1,6
Rice Chex,R,C,110,1000,0,240,0,23000,2000,30,1,1,2
Rice Krispies,K,C,110,2000,0,290,0,22000,3000,35,1,1,3
Shredded Wheat,N,C,80,2000,0,0,3,16000,0,95,1,,0
Shredded Wheat 'n'Bran,N,C,90,3000,0,0,4,19000,0,140,1,1,0
Shredded Wheat spoon size,N,C,90,3000,0,0,3,20000,0,120,1,1,0
Smacks,K,C,110,2000,1000,70,1,9000,15000,40,1,1,15
Special K,K,C,110,6000,0,230,1,16000,3000,55,1,1,3
Strawberry Fruit Wheats,N,C,90,2000,0,15,3,15000,5000,90,1,,5
Total Corn Flakes,G,C,110,2000,1000,200,0,21000,3000,35,1,1,3
Total Raisin Bran,G,C,140,3000,1000,190,4,15000,14000,230,2,1,14
Total Whole Grain,G,C,100,3000,1000,200,3,16000,3000,110,1,1,3
Triples,G,C,110,2000,1000,250,0,21000,3000,60,1,1,3
Trix,G,C,110,1000,1000,140,0,13000,12000,25,1,1,12
Wheat Chex,R,C,100,3000,1000,230,3,17000,3000,115,1,1,3
Wheaties,G,C,100,3000,1000,200,3,17000,3000,110,1,1,3
Wheaties Honey Gold,G,C,110,2000,1000,200,1,16000,8000,60,1,1,8
